"GRID.STA","LON","LAT"
"hh205",-150.7115,58.72873
"hh207",-150.49,58.84969
"hh209",-150.2677,58.97065
"hj135",-157.8329162,54.36223277
"hj137",-157.633898,54.48424605
"hj139",-157.4348798,54.60589635
"hj141",-157.2358617,54.7271842
"hj143",-156.984716,54.859004
"hj145",-156.8033,54.98526
"hj147",-156.603,55.10621
"hj149",-156.402,55.22717
"hj151",-156.2004,55.34813
"hj153",-155.9982,55.46908
"hj155",-155.7954,55.59004
"hj157",-155.592,55.71099
"hj159",-155.3879,55.83195
"hj161",-155.1832,55.95291
"hj163",-154.9779,56.07386
"hj165",-154.7719,56.19482
"hj167",-154.5653,56.31578
"hj169",-154.358,56.43673
"hj173",-153.9414,56.67865
"hj191",-152.033,57.76725
"hj193",-151.8175,57.88821
"hj195",-151.6012,58.00917
"hj197",-151.3841,58.13012
"hj199",-151.1664,58.25108
"hj201",-150.9479,58.37204
"hj203",-150.7286,58.49299
"hj205",-150.5086,58.61395
"hj207",-150.2878,58.73491
"hj209",-150.0639804,58.8569958
"hl139",-157.2172685,54.48611211
"hl141",-157.0182504,54.60775686
"hl143",-156.7897038,54.72502118
"hl145",-156.5794975,54.87037604
"hl147",-156.3759665,54.99360111
"hl149",-156.1802269,55.11175316
"hl151",-155.9823922,55.23081583
"hl153",-155.7821477,55.35096695
"hl155",-155.5840602,55.46946621
"hl157",-155.3755964,55.59378928
"hl159",-155.1718579,55.71491483
"hl161",-154.9693382,55.83494474
"hl163",-154.7711253,55.95206443
"hl165",-154.5561,56.08004
"hl167",-154.3501,56.20099
"hl169",-154.1434,56.32195
"hl173",-153.7281,56.56386
"hl175",-153.5195,56.68482
"hl177",-153.3102,56.80577
"hl179",-153.1002,56.92673
"hl181",-152.8895,57.04769
"hl183",-152.6781,57.16864
"hl185",-152.466,57.2896
"hl187",-152.2533,57.41056
"hl189",-152.0398,57.53151
"hl191",-151.8257,57.65247
"hl193",-151.6108,57.77343
"hl195",-151.3952,57.89438
"hl197",-151.1788,58.01534
"hl199",-150.9617,58.1363
"hl201",-150.7439,58.25725
"hl203",-150.5254,58.37821
"hl205",-150.3061,58.49916
"hl207",-150.086,58.62012
"hn143",-156.6016209,54.60961728
"hn145",-156.3562251,54.75481342
"hn147",-156.1592188,54.87443602
"hn149",-155.9500158,55.00107694
"hn151",-155.7476334,55.1232098
"hn153",-155.545251,55.24497029
"hn155",-155.3428686,55.36635899
"hn157",-155.1404862,55.4873765
"hn159",-154.9381038,55.60802341
"hn161",-154.7357214,55.72830032
"hn163",-154.533339,55.84820784
"hn165",-154.3309566,55.96774659
"hn167",-154.1285742,56.08691717
"hn169",-153.9261918,56.20572021
"hn171",-153.7228,56.32812
"hn173",-153.5155,56.44908
