"X","Y"
189520.616895572,5987030.43889994
213520.616895572,5987030.43889994
237520.616895572,5987030.43889994
249520.616895572,5987030.43889994
273520.616895572,5987030.43889994
297520.616895572,5987030.43889994
309520.616895572,5987030.43889994
321520.616895572,5987030.43889994
333520.616895572,5987030.43889994
357520.616895572,5987030.43889994
369520.616895572,5987030.43889994
381520.616895572,5987030.43889994
393520.616895572,5987030.43889994
405520.616895572,5987030.43889994
417520.616895572,5987030.43889994
429520.616895572,5987030.43889994
441520.616895572,5987030.43889994
465520.616895572,5987030.43889994
477520.616895572,5987030.43889994
117520.616895572,5999030.43889994
129520.616895572,5999030.43889994
141520.616895572,5999030.43889994
153520.616895572,5999030.43889994
165520.616895572,5999030.43889994
177520.616895572,5999030.43889994
189520.616895572,5999030.43889994
201520.616895572,5999030.43889994
213520.616895572,5999030.43889994
225520.616895572,5999030.43889994
237520.616895572,5999030.43889994
249520.616895572,5999030.43889994
261520.616895572,5999030.43889994
273520.616895572,5999030.43889994
285520.616895572,5999030.43889994
297520.616895572,5999030.43889994
309520.616895572,5999030.43889994
321520.616895572,5999030.43889994
333520.616895572,5999030.43889994
345520.616895572,5999030.43889994
357520.616895572,5999030.43889994
369520.616895572,5999030.43889994
381520.616895572,5999030.43889994
393520.616895572,5999030.43889994
405520.616895572,5999030.43889994
417520.616895572,5999030.43889994
429520.616895572,5999030.43889994
441520.616895572,5999030.43889994
453520.616895572,5999030.43889994
465520.616895572,5999030.43889994
477520.616895572,5999030.43889994
489520.616895572,5999030.43889994
501520.616895572,5999030.43889994
513520.616895572,5999030.43889994
537520.616895572,5999030.43889994
105520.616895572,6011030.43889994
117520.616895572,6011030.43889994
129520.616895572,6011030.43889994
141520.616895572,6011030.43889994
153520.616895572,6011030.43889994
165520.616895572,6011030.43889994
177520.616895572,6011030.43889994
189520.616895572,6011030.43889994
201520.616895572,6011030.43889994
213520.616895572,6011030.43889994
225520.616895572,6011030.43889994
237520.616895572,6011030.43889994
