"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","prevDEC","prevNOV"
1970,0.614627415389029,0.38950006063379,0.505331745638452,0.441683489791899,1.22602414465016,2.58738796987582,3.69405482642235,4.51763545451434,4.87069762466338,4.43338229716619,3.63137864386614,2.51427735931115,NA,NA
1971,1.15877384651296,0.13779227152678,-0.344779930525768,-0.259198694224991,0.0790291011781909,1.36457244479303,2.86338438625881,3.88773625560725,4.28866864152131,3.90448351415728,3.01329894668182,1.82737077995107,2.51427735931115,3.63137864386614
1972,1.07186120796903,0.405566661682663,-0.0303115133270305,-0.197749237049742,0.391585498006168,1.7806046266397,3.31739107356519,4.17347859223527,4.37383916818357,3.94156298710217,3.41235273853152,2.48740314857285,1.82737077995107,3.01329894668182
1973,1.19988228784168,0.698571583801774,0.42156138502314,0.600050184152596,1.29030703069959,2.43453463916648,3.91772357332135,5.00033610795545,5.26951187305984,4.36857244099175,3.66809771644496,2.53733299305677,2.48740314857285,3.41235273853152
1974,1.57749190807036,0.299485755763656,-0.236201236495638,0.0466431526717474,1.06040076257841,2.62343454207089,3.74710007633892,4.79929618590011,5.23638779801996,4.34057226133135,3.3158454206321,1.80862633764964,2.53733299305677,3.66809771644496
1975,0.809255341493821,0.386512515818406,-0.0180605271695131,-0.041732473979862,0.446375251120188,1.70519753691932,3.40426900579414,4.24105750985275,4.53386522412802,4.19175396139079,2.70658260556285,1.62658520120908,1.80862633764964,3.3158454206321
1976,0.782958232140242,0.0589306056216625,-0.377791894244716,-0.478181590290071,0.0894786803305414,1.49177025802625,2.75084942469026,3.80303677804357,4.21341641347488,3.93530070594703,2.9795285407866,2.04464140985265,1.62658520120908,2.70658260556285
1977,2.05407744670329,1.96400435236745,1.45672411146621,1.02998034171016,2.07469005108279,3.70159925708354,4.92561233871663,5.83462517240516,6.28946122472788,5.514276509015,3.84053116442232,2.38868238400733,2.04464140985265,2.9795285407866
1978,2.30460123197699,1.62190020592492,1.39465185938247,1.94515641018688,3.18094287429828,4.46310549884003,5.76688947095993,6.6255675077135,6.71857514748742,5.79429690034539,4.49737571494485,3.38746887735187,2.38868238400733,3.84053116442232
1979,2.89796175730144,1.96050631497227,1.80740577675094,2.74831279207559,3.97176229089958,5.18461212747553,6.29282398018073,6.95548590576911,6.86259739460872,6.10332031099887,4.91554326115927,2.82615173984814,3.38746887735187,4.49737571494485
1980,1.45869852716032,0.628234693621727,0.796343541020302,1.65485786372994,2.71195053702426,4.30545003115532,5.44308646589579,5.99727262900873,6.18860348460362,5.46629596201966,4.36750521507,2.7414099021945,2.82615173984814,4.91554326115927
1981,2.08387132856408,1.45855876176647,1.3713042626878,2.26998867885607,3.55849174927726,4.77457374579128,5.5239036398485,6.2157529865648,6.28299756852409,5.50817045417547,3.99564612255695,2.4671147060676,2.7414099021945,4.36750521507
1982,1.64507532371726,1.24226697815803,1.12425541088435,1.04689186831364,1.63571586324161,3.48064648665516,4.87641477396166,5.74849388345775,5.76714329964191,4.84788580654823,3.87593596885786,2.81890768760685,2.4671147060676,3.99564612255695
1983,1.14718797231131,1.13361633404076,1.12199429205015,1.48302912364961,2.7363700920995,4.05239382571603,4.8861900798362,5.58382790862792,5.60685275276554,5.00484372573242,3.82259104960838,3.56812989516535,2.81890768760685,3.87593596885786
1984,2.77248033593844,0.792826542807928,0.489147895524905,0.841574062377467,1.49556633193756,2.67328428556516,3.6207631363849,4.44151787784764,4.84169226751843,4.40279346430187,3.85895730285856,3.05878955620487,3.56812989516535,3.82259104960838
1985,3.10904514769952,2.17948726034877,0.887110012109529,0.439289764465315,1.08181431680189,2.55025112788979,4.00714257451668,4.68560673277293,5.21201741996962,4.54245743018176,3.47497757876315,3.25313750005246,3.05878955620487,3.85895730285856
1986,1.86954131059515,1.27103329514848,0.494397871887264,0.540981249678914,1.23909386987871,2.66310978370529,3.95197510942802,4.6210833873074,5.01094697449089,4.68474006395101,3.99766881496407,3.27118622242608,3.25313750005246,3.47497757876315
1987,2.19288141469515,1.55403650714113,1.49560151040354,1.90454915960458,2.66641166035766,4.09267354632987,5.20147954268779,6.13810043634863,6.14351124999749,5.35758147839605,3.97254301728634,2.33144016012642,3.27118622242608,3.99766881496407
1988,1.98307919998733,1.3202985200154,0.516410961071942,0.333084815645203,1.42566847071205,3.1336407001827,4.57116844870689,5.42458715706722,5.62188444012219,5.14343302198535,3.63047944442608,1.78873975100961,2.33144016012642,3.97254301728634
1989,0.928580772650059,1.03790285451254,0.993973670669835,1.5084358688019,2.66580913741025,3.91011816703105,5.07951374389231,5.8534365273589,5.93880869501044,5.23072964555156,3.74522022382824,2.27532924566075,1.78873975100961,3.63047944442608
1990,1.35343340112849,0.634077487000578,0.496527021626882,1.21655397441421,2.35802805558918,3.683449171795,4.7982385795644,5.70838728201447,5.8504932653673,4.98118842304301,3.71998258492891,2.56898326277002,2.27532924566075,3.74522022382824
1991,1.31239545685306,0.0816805863155212,0.201716501758648,0.656384934725699,1.76901043504796,3.19141762040716,4.39763057893473,4.99516939174702,5.14774168943841,4.67138656917737,4.02132437107232,2.49662977995939,2.56898326277002,3.71998258492891
1992,1.33531550667806,0.770435604917951,0.153712772611606,0.265156251253801,1.13748546501259,2.67963875221878,3.97312098080262,4.56459258784022,4.52984177754705,3.83944513211015,2.75676353624674,1.37962214433524,2.49662977995939,4.02132437107232
1993,0.879386160838847,0.619133261786493,0.942141665988946,1.73675383603628,2.98947987270296,4.43542253664457,5.60098354110701,6.50685587266638,6.43951955597741,5.6385062312977,4.65868372587696,3.2530070326664,1.37962214433524,2.75676353624674
